订单编号,日期,地区,城市,品类,销售员,客户类型,单价,数量,销售额,折扣率
SO-2025-03480,2025-01-21,华北,北京,办公用品,陈静,老客,2381.06,17.0,40478.02,0.2255
SO-2025-03647,2025-03-15,华北,北京,办公用品,陈静,老客,341.14,5.0,1705.7,0.1218
SO-2025-02296,2025-05-08,华南,深圳,办公用品,徐鹏,新客,703.46,1.0,703.46,0.1775
SO-2025-01500,2025-06-24,华南,广州,家居生活,王强,老客,2323.18,5.0,11615.9,0.1475
SO-2025-01333,2025-06-29,东北,沈阳,数码配件,王强,老客,152.44,10.0,1524.4,0.009
SO-2025-03035,2025-05-20,华南,深圳,办公用品,刘敏,新客,1165.71,19.0,22148.49,0.2113
SO-2025-04389,2025-01-01,华南,深圳,办公用品,吴倩,新客,2143.55,1.0,2143.55,0.0
SO-2025-02820,2025-06-27,华东,杭州,家居生活,陈静,老客,2366.66,2.0,4733.32,0.2739
SO-2025-04586,2025-05-02,华北,,数码配件,孙丽,新客,2707.88,8.0,21663.04,0.2206
SO-2025-02020,2025-04-21,华南,广州,家居生活,杨帆,老客,388.87,6.0,2333.22,0.0104
SO-2025-04944,2025-05-04,华北,北京,数码配件,黄霞,新客,295.63,15.0,4434.45,0.0459
SO-2025-04774,2025-05-29,华东,南京,数码配件,刘敏,新客,2213.91,2.0,4427.82,0.2992
SO-2025-04972,2025-05-25,华东,杭州,办公用品,周涛,老客,2193.82,15.0,32907.3,0.1348
SO-2025-03085,2025-01-04,华东,南京,数码配件,周涛,新客,2752.01,13.0,35776.13,0.0
SO-2025-04572,2025-02-14,华东,杭州,办公用品,杨帆,老客,2153.49,11.0,23688.39,0.07
SO-2025-04082,2025-02-11,华南,广州,办公用品,刘敏,老客,329.78,17.0,5606.26,0.0496
SO-2025-02004,2025-06-05,华东,杭州,数码配件,黄霞,老客,1146.76,18.0,20641.68,0.0186
SO-2025-04356,2025-06-23,东北,大连,办公用品,孙丽,新客,668.9,2.0,1337.8,0.1179
SO-2025-01083,2025-03-09,西南,重庆,办公用品,杨帆,老客,1402.1,18.0,25237.8,0.2009
SO-2025-03280,2025-05-07,华南,深圳,数码配件,陈静,新客,2341.98,,,0.2303
SO-2025-00435,2025-05-11,华东,上海,办公用品,周涛,新客,1024.35,15.0,15365.25,0.1881
SO-2025-02126,2025-06-13,华北,天津,办公用品,杨帆,新客,1728.44,17.0,29383.48,0.0352
SO-2025-02364,2025-03-14,华南,广州,办公用品,李娜,老客,1170.55,5.0,5852.75,0.2354
SO-2025-03409,2025-02-04,华东,杭州,家居生活,徐鹏,老客,2856.76,16.0,45708.16,0.2341
SO-2025-04578,2025-04-15,华北,天津,办公用品,杨帆,新客,2239.14,18.0,40304.52,0.1499
SO-2025-02271,2025-04-05,华南,广州,数码配件,王强,老客,447.81,18.0,8060.58,0.1601
SO-2025-01894,2025-02-14,华东,杭州,数码配件,孙丽,新客,1378.16,16.0,22050.56,0.1964
SO-2025-02500,2025-05-23,华东,上海,数码配件,徐鹏,老客,2863.64,9.0,25772.76,0.0807
SO-2025-01180,2025-01-20,华南,广州,办公用品,赵磊,老客,2799.87,1.0,2799.87,0.0
SO-2025-02346,2025-05-08,西南,重庆,家居生活,李娜,老客,2364.18,17.0,40191.06,0.1103
SO-2025-04070,2025-05-31,华北,天津,家居生活,李娜,老客,1089.07,12.0,13068.84,0.0222
SO-2025-00662,2025-03-23,华东,上海,办公用品,周涛,老客,1243.9,5.0,6219.5,0.2249
SO-2025-01000,2025-05-17,华东,南京,办公用品,王强,老客,1109.83,2.0,2219.66,0.2407
SO-2025-03754,2025-04-04,华北,天津,数码配件,李娜,新客,2374.48,1.0,2374.48,0.2351
SO-2025-01453,2025-03-17,东北,大连,家居生活,黄霞,老客,2895.01,19.0,55005.19,0.1115
SO-2025-00231,2025-03-10,华北,天津,数码配件,吴倩,老客,2559.23,2.0,5118.46,0.2852
SO-2025-02919,2025-01-17,华南,深圳,数码配件,李娜,新客,1999.59,11.0,21995.49,0.0497
SO-2025-01293,2025-05-27,华北,天津,数码配件,孙丽,老客,24.21,11.0,266.31,0.1283
SO-2025-04744,2025-01-13,华东,南京,家居生活,陈静,新客,910.47,18.0,16388.46,0.0458
SO-2025-04244,2025-01-09,华南,广州,数码配件,张伟,老客,1986.2,19.0,37737.8,0.1899
SO-2025-04722,2025-01-06,华东,南京,数码配件,刘敏,新客,1844.65,6.0,11067.9,0.0599
SO-2025-01887,2025-05-20,华东,南京,家居生活,徐鹏,老客,1985.77,19.0,37729.63,0.0419
SO-2025-03370,2025-01-27,西南,成都,数码配件,赵磊,老客,2864.73,3.0,8594.19,0.0359
SO-2025-02215,2025-03-23,华东,上海,数码配件,孙丽,老客,1783.4,15.0,26751.0,0.1786
SO-2025-00470,2025-06-05,华北,天津,数码配件,徐鹏,新客,106.31,20.0,2126.2,0.1708
SO-2025-04864,2025-02-23,华南,深圳,家居生活,黄霞,老客,1364.69,7.0,9552.83,0.083
SO-2025-00163,2025-04-25,华东,杭州,家居生活,王强,新客,1316.09,13.0,17109.17,0.0234
SO-2025-04787,2025-01-28,华南,深圳,家居生活,徐鹏,老客,1550.9,15.0,23263.5,0.1576
SO-2025-00489,2025-05-12,华南,广州,家居生活,徐鹏,老客,1036.45,17.0,17619.65,0.1726
SO-2025-00182,2025-03-31,华北,北京,数码配件,徐鹏,老客,1456.03,13.0,18928.39,0.225
SO-2025-00626,2025-04-14,西南,成都,数码配件,徐鹏,老客,977.96,11.0,10757.56,0.1813
SO-2025-00198,2025-01-06,华东,南京,办公用品,徐鹏,新客,581.38,14.0,8139.32,0.2987
SO-2025-01170,2025-06-15,华北,北京,办公用品,王强,老客,678.67,10.0,6786.7,0.0564
SO-2025-01771,2025-02-28,西南,成都,家居生活,杨帆,老客,727.75,12.0,8733.0,0.0
SO-2025-00368,2025-02-17,华北,北京,数码配件,李娜,新客,2041.57,12.0,24498.84,0.1145
SO-2025-00530,2025-01-27,华南,广州,数码配件,赵磊,老客,2901.96,20.0,58039.2,0.2867
SO-2025-03788,2025-05-01,华北,北京,数码配件,周涛,老客,2604.53,8.0,20836.24,0.2986
SO-2025-01441,2025-02-17,华东,南京,办公用品,赵磊,老客,2516.12,12.0,30193.44,0.0816
SO-2025-03498,2025-02-23,华北,北京,数码配件,张伟,老客,1453.68,1.0,1453.68,0.0896
SO-2025-00674,2025-06-17,华南,深圳,办公用品,黄霞,新客,1948.51,10.0,19485.1,0.0
SO-2025-02266,2025-03-30,华南,广州,办公用品,徐鹏,新客,1144.92,10.0,11449.2,0.0351
SO-2025-04015,2025-06-20,华北,北京,办公用品,张伟,老客,526.16,7.0,3683.12,0.0223
SO-2025-04817,2025-02-19,华北,天津,数码配件,杨帆,新客,2675.68,2.0,5351.36,0.0377
SO-2025-02097,2025-01-28,华北,北京,办公用品,刘敏,老客,2196.3,14.0,30748.2,0.1906
SO-2025-00566,2025-05-05,西南,成都,办公用品,赵磊,老客,1497.28,13.0,19464.64,0.1866
SO-2025-04030,2025-03-11,华北,天津,数码配件,李娜,老客,2384.75,18.0,42925.5,0.0968
SO-2025-00014,2025-01-12,华北,天津,数码配件,孙丽,新客,1478.97,12.0,17747.64,0.2148
SO-2025-01465,2025-05-31,华南,深圳,办公用品,周涛,老客,2083.45,7.0,14584.15,0.0689
SO-2025-00654,2025-04-06,西南,成都,数码配件,孙丽,新客,2337.93,8.0,18703.44,0.1976
SO-2025-03964,2025-04-04,华北,天津,家居生活,王强,老客,1983.87,13.0,25790.31,0.1508
SO-2025-04380,2025-03-11,华北,北京,数码配件,杨帆,新客,357.62,19.0,6794.78,0.2306
SO-2025-04688,2025-01-25,西南,成都,办公用品,黄霞,新客,800.07,11.0,8800.77,0.0
SO-2025-00479,2025-04-06,华北,天津,数码配件,周涛,新客,85.75,15.0,1286.25,0.0378
SO-2025-04555,2025-05-30,华南,深圳,数码配件,王强,新客,350.85,6.0,2105.1,0.1913
SO-2025-03354,2025-05-25,华北,天津,家居生活,周涛,新客,1522.71,2.0,3045.42,0.2615
SO-2025-01640,2025-03-14,华南,深圳,数码配件,张伟,新客,2261.73,10.0,22617.3,0.1644
SO-2025-03452,2025-02-21,华东,上海,办公用品,吴倩,老客,2321.32,13.0,30177.16,0.0457
SO-2025-00266,2025-02-02,华东,上海,数码配件,徐鹏,新客,2454.27,16.0,39268.32,0.0243
SO-2025-00129,2025-03-23,华南,深圳,家居生活,陈静,新客,614.18,9.0,5527.62,0.2409
SO-2025-02906,2025-05-21,东北,沈阳,家居生活,赵磊,老客,2426.74,13.0,31547.62,0.1238
SO-2025-03223,2025-02-05,华南,广州,办公用品,杨帆,老客,1943.34,10.0,19433.4,0.1671
SO-2025-02175,2025-02-16,华南,广州,办公用品,吴倩,新客,498.98,5.0,2494.9,0.1061
SO-2025-01931,2025-04-22,华南,广州,办公用品,张伟,新客,457.6,7.0,3203.2,0.1459
SO-2025-02953,2025-05-16,东北,大连,办公用品,刘敏,新客,669.87,18.0,12057.66,0.1119
SO-2025-01536,2025-02-06,西南,重庆,家居生活,李娜,新客,111.89,10.0,1118.9,0.0
SO-2025-02406,2025-06-24,华北,北京,数码配件,黄霞,新客,810.49,8.0,6483.92,0.0365
SO-2025-00168,2025-01-23,华东,南京,数码配件,陈静,新客,1188.4,19.0,22579.6,0.0008
SO-2025-00234,2025-03-23,东北,大连,家居生活,吴倩,新客,2897.55,4.0,11590.2,0.0693
SO-2025-04996,2025-06-13,华东,杭州,数码配件,孙丽,老客,645.88,9.0,5812.92,0.2878
SO-2025-00287,2025-05-28,华北,天津,家居生活,刘敏,新客,1156.0,18.0,20808.0,0.2834
SO-2025-01458,2025-01-25,东北,沈阳,办公用品,李娜,老客,1865.86,18.0,33585.48,0.0164
SO-2025-01217,2025-01-12,华南,广州,办公用品,吴倩,新客,2694.45,12.0,32333.4,0.1547
SO-2025-03947,2025-02-06,华东,南京,办公用品,张伟,新客,2053.76,17.0,34913.92,0.0676
SO-2025-00010,2025-04-03,华北,天津,数码配件,陈静,新客,1299.41,18.0,23389.38,0.0215
SO-2025-02744,2025-04-26,华北,北京,办公用品,杨帆,老客,468.07,14.0,6552.98,0.1648
SO-2025-03043,2025-06-21,华北,北京,家居生活,王强,新客,577.1,17.0,9810.7,0.2974
SO-2025-00817,2025-05-03,华北,北京,家居生活,刘敏,新客,1735.13,9.0,15616.17,0.2981
SO-2025-00056,2025-06-29,华北,天津,办公用品,周涛,老客,1889.86,1.0,1889.86,0.2262
SO-2025-03688,2025-05-22,华南,广州,办公用品,杨帆,老客,1048.75,7.0,7341.25,0.0
SO-2025-04227,2025-02-27,华东,杭州,数码配件,刘敏,新客,1323.54,10.0,13235.4,0.1045
SO-2025-00908,2025-03-10,华东,南京,家居生活,王强,新客,1857.6,19.0,35294.4,0.279
SO-2025-01646,2025-01-13,华东,上海,办公用品,黄霞,老客,961.87,16.0,15389.92,0.0131
SO-2025-02321,2025-02-08,华东,南京,家居生活,黄霞,老客,782.22,18.0,14079.96,0.0244
SO-2025-00485,2025-01-19,华北,北京,办公用品,王强,老客,2689.84,2.0,5379.68,0.0501
SO-2025-03284,2025-03-02,华东,杭州,家居生活,孙丽,老客,2207.17,20.0,44143.4,0.2638
SO-2025-03805,2025-05-17,华东,南京,数码配件,徐鹏,老客,1688.14,14.0,23633.96,0.2636
SO-2025-01243,2025-04-21,华东,上海,数码配件,赵磊,新客,459.98,10.0,4599.8,0.2601
SO-2025-00778,2025-02-21,西南,成都,家居生活,赵磊,老客,2501.81,11.0,27519.91,0.1536
SO-2025-01911,2025-06-13,华东,杭州,办公用品,赵磊,新客,1169.08,6.0,7014.48,0.2125
SO-2025-03433,2025-02-10,华东,南京,数码配件,徐鹏,老客,1367.93,18.0,24622.74,0.107
SO-2025-04957,2025-03-16,华东,杭州,数码配件,徐鹏,新客,2526.83,2.0,5053.66,0.2241
SO-2025-00164,2025-01-29,华北,北京,办公用品,李娜,老客,185.87,18.0,3345.66,0.219
SO-2025-02017,2025-04-11,华东,南京,办公用品,刘敏,老客,1991.54,20.0,39830.8,0.2816
SO-2025-01076,2025-06-14,华北,北京,办公用品,徐鹏,新客,1424.14,20.0,28482.8,0.2624
SO-2025-03694,2025-04-26,华南,广州,数码配件,刘敏,老客,2281.57,7.0,15970.99,0.2489
SO-2025-03300,2025-04-17,东北,大连,办公用品,赵磊,老客,2924.53,19.0,55566.07,0.0
SO-2025-00444,2025-05-23,华东,南京,数码配件,周涛,老客,2049.85,12.0,24598.2,0.1502
SO-2025-00386,2025-01-03,华南,广州,办公用品,王强,新客,615.07,19.0,11686.33,0.1364
SO-2025-04273,2025-06-26,西南,成都,数码配件,周涛,新客,857.43,9.0,7716.87,0.0247
SO-2025-01128,2025-04-06,华南,深圳,数码配件,孙丽,新客,989.72,5.0,4948.6,0.2461
SO-2025-04102,2025-01-15,华北,北京,办公用品,周涛,老客,2988.33,19.0,56778.27,0.1744
SO-2025-02789,2025-03-11,华北,天津,办公用品,王强,新客,2410.1,15.0,36151.5,0.0114
SO-2025-01624,2025-01-30,华北,天津,家居生活,杨帆,新客,2490.78,17.0,42343.26,0.1624
SO-2025-02100,2025-03-16,华南,深圳,数码配件,孙丽,新客,933.83,10.0,9338.3,0.2529
SO-2025-03903,2025-02-28,华北,天津,办公用品,徐鹏,老客,1374.87,15.0,20623.05,0.2086
SO-2025-04785,2025-04-11,西南,成都,办公用品,王强,新客,1591.45,14.0,22280.3,0.1652
SO-2025-03128,2025-02-07,华南,深圳,家居生活,赵磊,老客,101.24,8.0,809.92,0.0228
SO-2025-04511,2025-06-06,华北,北京,办公用品,吴倩,新客,365.87,12.0,4390.44,0.1216
SO-2025-03032,2025-06-28,华东,杭州,办公用品,徐鹏,新客,168.29,3.0,504.87,0.188
SO-2025-04018,2025-06-14,华东,杭州,办公用品,徐鹏,新客,2943.05,7.0,20601.35,0.0
SO-2025-04522,2025-06-20,西南,成都,办公用品,徐鹏,新客,2706.31,5.0,13531.55,0.2204
SO-2025-01524,2025-01-27,华南,广州,数码配件,徐鹏,老客,1096.58,9.0,9869.22,0.0
SO-2025-03774,2025-06-15,西南,重庆,办公用品,陈静,老客,2500.83,12.0,30009.96,0.0659
SO-2025-00974,2025-04-10,华北,天津,办公用品,吴倩,老客,432.49,18.0,7784.82,0.0224
SO-2025-04582,2025-06-04,西南,成都,办公用品,李娜,新客,1057.22,9.0,9514.98,0.0119
SO-2025-00658,2025-03-12,华南,广州,办公用品,赵磊,老客,793.11,3.0,2379.33,0.268
SO-2025-04071,2025-03-30,华南,深圳,家居生活,黄霞,老客,492.11,5.0,2460.55,0.1219
SO-2025-02619,2025-02-28,东北,大连,办公用品,孙丽,新客,640.34,5.0,3201.7,0.1149
SO-2025-02437,2025-05-18,华南,广州,办公用品,黄霞,新客,2344.76,15.0,35171.4,0.0344
SO-2025-02383,2025-05-05,华东,上海,办公用品,周涛,老客,2500.33,7.0,17502.31,0.233
SO-2025-02800,2025-04-20,东北,大连,办公用品,黄霞,老客,1926.03,4.0,7704.12,0.2871
SO-2025-00343,2025-06-24,华南,深圳,数码配件,孙丽,新客,2066.93,18.0,37204.74,0.2578
SO-2025-01389,2025-05-01,华东,南京,办公用品,陈静,老客,476.36,18.0,8574.48,0.0424
SO-2025-01776,2025-06-27,华南,深圳,家居生活,孙丽,老客,2866.42,10.0,28664.2,0.2986
SO-2025-01133,2025-04-17,华南,,数码配件,吴倩,新客,622.18,7.0,4355.26,0.1964
SO-2025-01865,2025-05-27,西南,成都,办公用品,陈静,老客,363.73,14.0,5092.22,0.1914
SO-2025-02660,2025-06-03,西南,成都,办公用品,孙丽,新客,2719.52,14.0,38073.28,0.0006
SO-2025-00749,2025-05-03,西南,重庆,办公用品,陈静,新客,2526.94,9.0,22742.46,0.1817
SO-2025-01351,2025-05-02,西南,重庆,办公用品,李娜,老客,1488.98,1.0,1488.98,0.1416
SO-2025-02997,2025-05-13,华东,杭州,数码配件,王强,老客,2926.21,,,0.1681
SO-2025-04408,2025-05-22,西南,重庆,数码配件,黄霞,老客,2766.36,17.0,47028.12,0.146
SO-2025-01023,2025-01-02,华北,天津,数码配件,黄霞,老客,1567.18,13.0,20373.34,0.0303
SO-2025-01306,2025-05-18,华南,广州,办公用品,王强,老客,2400.86,16.0,38413.76,0.2527
SO-2025-02154,2025-04-01,华南,深圳,家居生活,张伟,老客,2566.45,19.0,48762.55,0.1984
SO-2025-02896,2025-05-22,东北,沈阳,办公用品,徐鹏,老客,1185.61,3.0,3556.83,0.2767
SO-2025-04960,2025-06-25,华东,杭州,家居生活,刘敏,老客,1839.6,19.0,34952.4,0.2215
SO-2025-04675,2025-03-01,华东,杭州,办公用品,刘敏,新客,1099.83,12.0,13197.96,0.106
SO-2025-03332,2025-05-06,华东,南京,办公用品,徐鹏,新客,879.71,13.0,11436.23,0.2333
SO-2025-00518,2025-03-09,华东,杭州,办公用品,黄霞,新客,1949.76,11.0,21447.36,0.2926
SO-2025-02640,2025-06-21,华南,,办公用品,王强,老客,1189.54,,,0.2655
SO-2025-01003,2025-01-14,华东,杭州,数码配件,周涛,新客,1167.0,18.0,21006.0,0.0
SO-2025-00987,2025-06-20,华东,上海,办公用品,王强,老客,2200.1,19.0,41801.9,0.0223
SO-2025-03747,2025-05-23,西南,成都,数码配件,李娜,新客,1521.89,13.0,19784.57,0.0181
SO-2025-01147,2025-05-23,西南,重庆,办公用品,王强,新客,2933.92,3.0,8801.76,0.2665
SO-2025-03189,2025-03-28,华东,南京,家居生活,张伟,老客,2940.26,16.0,47044.16,0.2595
SO-2025-04250,2025-03-16,华北,天津,家居生活,李娜,新客,2457.85,11.0,27036.35,0.188
SO-2025-00473,2025-03-24,华东,上海,办公用品,刘敏,老客,395.2,12.0,4742.4,0.0
SO-2025-04914,2025-06-11,华北,天津,数码配件,吴倩,新客,2822.87,5.0,14114.35,0.0413
SO-2025-02877,2025-02-16,华北,天津,办公用品,周涛,老客,2919.32,4.0,11677.28,0.0
SO-2025-00899,2025-03-07,华北,北京,家居生活,徐鹏,老客,1183.94,6.0,7103.64,0.0
SO-2025-03151,2025-02-20,华南,深圳,数码配件,陈静,新客,2393.34,12.0,28720.08,0.0
SO-2025-00325,2025-03-17,华南,广州,办公用品,赵磊,新客,2158.11,20.0,43162.2,0.1226
SO-2025-02984,2025-01-09,华东,上海,办公用品,张伟,老客,93.28,3.0,279.84,0.0412
SO-2025-02426,2025-01-06,华东,杭州,数码配件,赵磊,老客,46.28,3.0,138.84,0.06
SO-2025-00366,2025-05-24,西南,成都,办公用品,孙丽,老客,2161.77,15.0,32426.55,0.0
SO-2025-03088,2025-01-10,华北,天津,办公用品,孙丽,新客,1627.17,3.0,4881.51,0.2832
SO-2025-03516,2025-03-09,华南,广州,数码配件,周涛,老客,1106.25,13.0,14381.25,0.0457
SO-2025-03662,2025-01-07,西南,重庆,办公用品,张伟,老客,359.53,15.0,5392.95,0.0036
SO-2025-00203,2025-06-27,华东,上海,数码配件,徐鹏,老客,1903.93,15.0,28558.95,0.2306
SO-2025-01796,2025-06-06,华南,广州,办公用品,李娜,老客,1936.34,,,0.207
SO-2025-00811,2025-06-15,华东,南京,办公用品,徐鹏,老客,2161.18,2.0,4322.36,0.2485
SO-2025-03374,2025-01-15,华北,天津,家居生活,王强,新客,1277.57,18.0,22996.26,0.0899
SO-2025-01621,2025-05-03,华北,天津,家居生活,赵磊,老客,271.56,7.0,1900.92,0.1799
SO-2025-01616,2025-02-27,华东,杭州,办公用品,黄霞,老客,286.73,18.0,5161.14,0.2092
SO-2025-01216,2025-06-04,华东,杭州,办公用品,陈静,老客,529.22,13.0,6879.86,0.1826
SO-2025-00086,2025-06-29,华南,深圳,办公用品,赵磊,新客,2489.81,12.0,29877.72,0.1768
SO-2025-01870,2025-03-05,华东,上海,家居生活,李娜,老客,325.08,19.0,6176.52,0.0272
SO-2025-04499,2025-05-06,西南,重庆,数码配件,徐鹏,老客,2756.67,19.0,52376.73,0.1433
SO-2025-01142,2025-06-01,西南,重庆,办公用品,徐鹏,新客,2893.47,6.0,17360.82,0.1588
SO-2025-03196,2025-04-04,华北,北京,数码配件,吴倩,新客,2882.43,7.0,20177.01,0.1848
SO-2025-01903,2025-06-15,华东,杭州,数码配件,黄霞,老客,2142.18,6.0,12853.08,0.0614
SO-2025-03395,2025-02-11,东北,沈阳,家居生活,刘敏,老客,2908.08,9.0,26172.72,0.2092
SO-2025-01355,2025-04-27,华东,杭州,办公用品,陈静,新客,1217.31,14.0,17042.34,0.1271
SO-2025-04667,2025-04-08,华北,天津,家居生活,王强,新客,2603.56,7.0,18224.92,0.0339
SO-2025-01620,2025-02-24,华东,南京,数码配件,吴倩,老客,564.9,2.0,1129.8,0.0
SO-2025-02804,2025-06-29,华东,上海,家居生活,赵磊,新客,426.3,17.0,7247.1,0.1042
SO-2025-02927,2025-06-17,华南,广州,家居生活,杨帆,老客,1122.15,17.0,19076.55,0.0955
SO-2025-02398,2025-06-28,华东,南京,数码配件,李娜,老客,1672.39,14.0,23413.46,0.2432
SO-2025-02047,2025-05-07,华北,天津,数码配件,王强,老客,879.21,9.0,7912.89,0.0596
SO-2025-02068,2025-06-12,华东,南京,办公用品,李娜,新客,618.68,11.0,6805.48,0.272
SO-2025-01051,2025-05-24,华东,南京,数码配件,张伟,新客,2657.6,13.0,34548.8,0.1093
SO-2025-00009,2025-04-19,华北,北京,数码配件,赵磊,新客,2297.11,12.0,27565.32,0.0256
SO-2025-04995,2025-05-03,华东,杭州,家居生活,李娜,老客,1136.93,13.0,14780.09,0.2639
SO-2025-04985,2025-05-21,华北,天津,数码配件,王强,新客,2688.74,10.0,26887.4,0.2767
SO-2025-01943,2025-03-17,华东,上海,办公用品,周涛,老客,1609.98,12.0,19319.76,0.0875
SO-2025-03118,2025-06-02,华东,杭州,家居生活,徐鹏,新客,2083.69,16.0,33339.04,0.125
SO-2025-01607,2025-05-16,华东,杭州,数码配件,徐鹏,新客,1082.03,1.0,1082.03,0.0871
SO-2025-03471,2025-04-22,华北,天津,家居生活,杨帆,老客,773.03,4.0,3092.12,0.1372
SO-2025-00866,2025-01-10,西南,成都,办公用品,周涛,老客,2893.24,17.0,49185.08,0.1504
SO-2025-03913,2025-04-17,华北,北京,数码配件,刘敏,老客,2812.29,11.0,30935.19,0.2461
SO-2025-04617,2025-06-19,华北,北京,数码配件,赵磊,新客,2473.81,5.0,12369.05,0.29
SO-2025-00405,2025-06-15,西南,成都,办公用品,周涛,老客,1666.72,13.0,21667.36,0.0222
SO-2025-00993,2025-06-12,华东,南京,家居生活,徐鹏,老客,2945.93,2.0,5891.86,0.0742
SO-2025-04627,2025-05-23,华北,天津,数码配件,张伟,老客,596.89,13.0,7759.57,0.1611
SO-2025-00324,2025-01-07,西南,重庆,家居生活,黄霞,老客,1069.38,3.0,3208.14,0.0371
SO-2025-02494,2025-06-02,西南,重庆,办公用品,周涛,老客,515.87,6.0,3095.22,0.0334
SO-2025-01635,2025-06-17,华北,北京,数码配件,刘敏,新客,1288.73,11.0,14176.03,0.0091
SO-2025-00363,2025-05-16,华东,杭州,数码配件,刘敏,老客,107.53,3.0,322.59,0.1736
SO-2025-03914,2025-04-06,华北,天津,家居生活,李娜,老客,1218.15,14.0,17054.1,0.184
SO-2025-00034,2025-03-23,华北,天津,办公用品,李娜,老客,2419.35,18.0,43548.3,0.2716
SO-2025-04754,2025-01-14,东北,大连,办公用品,黄霞,新客,738.57,8.0,5908.56,0.0
SO-2025-03463,2025-05-31,华东,杭州,数码配件,王强,老客,589.27,13.0,7660.51,0.2975
SO-2025-04994,2025-05-29,华南,深圳,数码配件,孙丽,老客,1770.77,19.0,33644.63,0.0436
SO-2025-02356,2025-04-11,华北,天津,数码配件,王强,老客,2172.5,1.0,2172.5,0.0886
SO-2025-00730,2025-04-22,华东,杭州,办公用品,黄霞,新客,537.44,9.0,4836.96,0.0106
SO-2025-00951,2025-05-15,华东,上海,办公用品,张伟,新客,486.92,14.0,6816.88,0.2064
SO-2025-00433,2025-06-28,西南,成都,办公用品,赵磊,老客,1597.32,19.0,30349.08,0.0986
SO-2025-02328,2025-06-21,华南,广州,数码配件,孙丽,新客,482.34,18.0,8682.12,0.1403
SO-2025-00751,2025-02-23,华北,天津,办公用品,陈静,老客,2893.92,14.0,40514.88,0.1103
SO-2025-00552,2025-02-06,华东,南京,家居生活,徐鹏,老客,2317.17,11.0,25488.87,0.275
SO-2025-04012,2025-05-09,东北,大连,数码配件,黄霞,老客,1097.8,13.0,14271.4,0.0861
SO-2025-00545,2025-01-01,华北,天津,办公用品,周涛,新客,2721.6,5.0,13608.0,0.1333
SO-2025-00059,2025-02-20,华东,上海,家居生活,李娜,新客,2926.37,20.0,58527.4,0.0
SO-2025-03015,2025-04-25,华南,广州,办公用品,孙丽,老客,954.14,20.0,19082.8,0.2755
SO-2025-00807,2025-02-13,华东,上海,数码配件,孙丽,新客,1754.13,18.0,31574.34,0.1026
SO-2025-04952,2025-05-29,华东,上海,数码配件,徐鹏,老客,1271.22,2.0,2542.44,0.2229
SO-2025-00134,2025-04-02,华南,广州,办公用品,吴倩,老客,1637.62,10.0,16376.2,0.1515
SO-2025-03358,2025-02-24,华南,广州,数码配件,杨帆,新客,858.56,6.0,5151.36,0.0203
SO-2025-00192,2025-01-30,华东,上海,数码配件,吴倩,新客,1995.31,1.0,1995.31,0.0832
SO-2025-00042,2025-03-08,华南,广州,数码配件,徐鹏,新客,1822.75,4.0,7291.0,0.2965
SO-2025-01273,2025-02-01,华南,广州,家居生活,李娜,老客,200.11,6.0,1200.66,0.0634
SO-2025-00442,2025-04-03,华南,广州,数码配件,王强,老客,626.27,3.0,1878.81,0.2796
SO-2025-01789,2025-03-31,华东,上海,办公用品,张伟,新客,433.21,15.0,6498.15,0.0
SO-2025-02141,2025-06-11,华北,天津,办公用品,刘敏,新客,2666.29,13.0,34661.77,0.0005
SO-2025-04574,2025-04-23,西南,重庆,数码配件,张伟,老客,2737.53,11.0,30112.83,0.1301
SO-2025-00019,2025-01-13,华南,广州,办公用品,周涛,新客,1159.94,4.0,4639.76,0.2611
SO-2025-03610,2025-05-02,华南,广州,办公用品,赵磊,老客,796.86,6.0,4781.16,0.2405
SO-2025-04046,2025-01-19,华东,南京,数码配件,赵磊,老客,931.63,7.0,6521.41,0.0
SO-2025-01482,2025-04-22,华南,广州,数码配件,刘敏,老客,1401.56,19.0,26629.64,0.1671
SO-2025-04673,2025-03-05,华东,杭州,数码配件,黄霞,新客,549.65,13.0,7145.45,0.1572
SO-2025-04538,2025-04-10,华东,南京,数码配件,吴倩,新客,760.65,4.0,3042.6,0.0044
SO-2025-03815,2025-03-28,华北,天津,办公用品,黄霞,老客,2226.13,11.0,24487.43,0.2529
SO-2025-01191,2025-04-15,华北,天津,办公用品,赵磊,新客,2206.98,9.0,19862.82,0.1739
SO-2025-03670,2025-01-19,华北,天津,办公用品,杨帆,老客,1094.31,17.0,18603.27,0.0438
SO-2025-01252,2025-06-27,华东,杭州,家居生活,徐鹏,老客,2745.38,9.0,24708.42,0.0381
SO-2025-03904,2025-05-13,华北,北京,数码配件,杨帆,新客,2562.68,10.0,25626.8,0.0
SO-2025-01200,2025-02-01,华南,深圳,办公用品,孙丽,新客,969.1,11.0,10660.1,0.2946
SO-2025-02674,2025-04-07,华南,深圳,办公用品,周涛,老客,131.13,7.0,917.91,0.077
SO-2025-00373,2025-01-20,华东,上海,办公用品,周涛,新客,2448.16,16.0,39170.56,0.1644
SO-2025-02622,2025-01-01,华东,上海,办公用品,周涛,老客,2660.2,8.0,21281.6,0.1822
SO-2025-04310,2025-05-11,华北,北京,家居生活,张伟,新客,2183.52,1.0,2183.52,0.185
